title,election,year,type,status,percent,topics,topics2,topics3,topics4,topics5,topics6
"
 Extension of Temporary Personal Income Tax Increase Amendment",General,2016,Initiative,Pass (Yes votes: 62.1% unofficial), 62.1% unofficial,Tax & Revenue,,,,,
"
 PUBLIC RECORDS. OPEN MEETINGS. STATE REIMBURSEMENT TO LOCAL AGENCIES. LEGISLATIVE CONSTITUTIONAL AMENDMENT.",Primary,2014,Legislative Referendum,Pass (Yes votes: 61.8% (unofficial)), 61.8% (unofficial,Local Government,,,,,
"
 Tax Treatment for Multistate Businesses. Clean Energy and Energy Efficiency Funding. Initiative Statute.",General,2012,Initiative,Pass (Yes votes: 60.4% (unofficial)), 60.4% (unofficial,Business & Commerce,Environmental Protection,Tax & Revenue,,,
"
 Criminal Sentences. Misdemeanor Penalties.",General,2014,Initiative,Pass (Yes votes: 58.4% unofficial), 58.4% unofficial,Criminal Justice,,,,,
"
 Legalization of Marijuana for Adults Over 21",General,2016,Initiative,Pass (Yes votes: 55.8% unofficial), 55.8% unofficial,Business & Commerce,Drug/Alcohol/Tobacco Policy,Tax & Revenue,,,
"
 Temporary Taxes to Fund Education. Guaranteed Local Public Safety Funding. Initiative Constitutional Amendment.",General,2012,Initiative,Pass (Yes votes: 54.3% (unofficial)), 54.3% (unofficial,Education: Higher Ed,Education: PreK-12,Tax & Revenue,,,
"
 Kindergarten through Community College Public Education Facilities Bond Act",General,2016,Initiative,Pass (Yes votes: 54.0% unofficial), 54.0% unofficial,Bond Measures,Education: Higher Ed,Education: PreK-12,,,
"
 Overturn Citizens United Act",General,2016,Initiative,Pass (Yes votes: 52.3% unofficial), 52.3% unofficial,Ethics/Lobbying/Campaign Finance,,,,,
"
 Referendum to Overturn Ban on Single-Use Plastic Bags",General,2016,Popular Referendum,Pass (Yes votes: 52.0% unofficial), 52.0% unofficial,Business & Commerce,Environmental Protection,,,,
"
 Death Penalty Revision",General,2016,Initiative,Pass (Yes votes: 50.9% unofficial), 50.9% unofficial,Criminal Justice,,,,,
"
 No Blank Checks Initiative",General,2016,Initiative,Fail (Yes votes: 48.6% unofficial), 48.6% unofficial,Bond Measures,State Government,Tax & Revenue,,,
"
 Death Penalty Repeal. Initiative Statute.",General,2012,Initiative,Fail (Yes votes: 47.4% (unofficial)), 47.4% (unofficial,Criminal Justice,,,,,
"
 Genetically Engineered Foods. Mandatory Labeling. Inititative Statute.",General,2012,Initiative,Fail (Yes votes: 47.2% (unofficial)), 47.2% (unofficial,Business & Commerce,,,,,
"
 California Drug Price Relief Act",General,2016,Initiative,Fail (Yes votes: 46.3% unofficial), 46.3% unofficial,Health,State Government,,,,
"
 California Safer Sex in the Adult Film Industry Act",General,2016,Initiative,Fail (Yes votes: 46.1% unofficial), 46.1% unofficial,Health,,,,,
"
 Justice That Works Act (Capital Punishment)",General,2016,Initiative,Fail (Yes votes: 46.1% unofficial), 46.1% unofficial,Criminal Justice,,,,,
"
 Changes Law to Allow Auto Insurance Companies to Set Prices Based on a Driver's History of Insurance Coverage. Initiative Statute.",General,2012,Initiative,Fail (Yes votes: 45.3% (unofficial)), 45.3% (unofficial,Insurance,,,,,
"
 Environmental Fund from Reusable Bag Fees",General,2016,Initiative,Fail (Yes votes: 44.7% unofficial), 44.7% unofficial,Environmental Protection,Tax & Revenue,,,,
"
 Prohibits Political Contributions by Payroll Deduction. Prohibitions on Contributions to Candidates. Initiative Statute.",General,2012,Initiative,Fail (Yes votes: 43.7% (unofficial)), 43.7% (unofficial,Ethics/Lobbying/Campaign Finance,Labor & Employment,,,,
"
 Approval of Healthcare Insurance Rate Changes",General,2014,Initiative,Fail (Yes votes: 40.2% unofficial), 40.2% unofficial,Health,Insurance,,,,
"
 State Budget. State and Local Government. Initiative Constitutional Amendment and Statute.",General,2012,Initiative,Fail (Yes votes: 39.3% (unofficial)), 39.3% (unofficial,Budgets,Legislatures,,,,
"
 Referendum to Overturn Indian Gaming Compacts",General,2014,Popular Referendum,Fail (Yes votes: 39.1% unofficial), 39.1% unofficial,Gambling & Lotteries,,,,,
"
 Drug and Alcohol Testing of Doctors. Medical Negligence Lawsuits.",General,2014,Initiative,Fail (Yes votes: 32.8% unofficial), 32.8% unofficial,Civil & Constitutional Law,Health,,,,
"
 Tax for Education and Early Childhood Programs. Initiative Statute.",General,2012,Initiative,Fail (Yes votes: 27.7% (unofficial)), 27.7% (unofficial,Education: PreK-12,Tax & Revenue,,,,
"
 Aid to Widows of Veterans",General,1962,Legislative Referendum,Fail (Yes votes: 4935%),49%,Human Services,Military & Veterans Affairs,,,,
"
 County Courthouse Facility Capital Expenditure Bond Act of 1990",General,1990,Legislative Referendum,Fail (Yes votes: 26.4),26.4,Bond Measures,Judiciary,Local Government,,,
"
 Interest Rates",General,1934,Legislative Referendum,Pass (Yes votes: 535.7%),53.57%,Banking & Financial Services,,,,,
"
 Bonds to Provide State College",General,1964,Legislative Referendum,Pass (Yes votes: 94.9%),94.90%,Bond Measures,Education: Higher Ed,,,,
"
 Disabled Veterans Tax Exemption",General,1972,Legislative Referendum,Pass (Yes votes: 89.7%),89.70%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Taxation: Exemption for Disabled Veterans",General,1954,Legislative Referendum,Pass (Yes votes: 89.7%),89.70%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Blind Veterans Tax Exemption",General,1972,Legislative Referendum,Pass (Yes votes: 89.4%),89.40%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Veterans' Tax Exemption for Blind Veterans",General,1966,Legislative Referendum,Pass (Yes votes: 89.3%),89.30%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 The Veterans Bond Act of 1943",General,1944,Legislative Referendum,Pass (Yes votes: 87.7%),87.70%,Bond Measures,Military & Veterans Affairs,,,,
"
 State Highway Bonds",General,1919,Legislative Referendum,Pass (Yes votes: 87.5%),87.50%,Bond Measures,Transportation,,,,
"
 Murder: Punishment.",Primary,1996,Legislative Referendum,Pass (Yes votes: 85.8%),85.80%,Criminal Justice,,,,,
"
 Murder: Special Circumstances.",Primary,1996,Legislative Referendum,Pass (Yes votes: 85.8%),85.80%,Criminal Justice,,,,,
"
 Public Officers and Employees. Reinstatement After Military Service",General,1944,Legislative Referendum,Pass (Yes votes: 85.7%),85.70%,Labor & Employment,Military & Veterans Affairs,State Government,,,
"
 Veterans' Farm and Home Bonds",General,1952,Legislative Referendum,Pass (Yes votes: 85.7%),85.70%,Bond Measures,Military & Veterans Affairs,,,,
"
 Eligibility to Vote1",General,1950,Legislative Referendum,Pass (Yes votes: 85.2%),85.20%,Civil & Constitutional Law,Elections,,,,
"
 Legislators' And Judges' Retirement Systems.",Primary,1986,Legislative Referendum,Pass (Yes votes: 85.1%),85.10%,Judiciary,Labor & Employment,Legislatures,,,
"
 Limits on Property Tax Assessment. Seismic Retrofitting of Existing Buildings. Legislative Constitutional Amendment.",Primary,2010,Legislative Referendum,Pass (Yes votes: 85.0%),85.00%,Tax & Revenue,,,,,
"
 Taxation: Insurance Companies and Banks",General,1952,Legislative Referendum,Pass (Yes votes: 84.5%),84.50%,Banking & Financial Services,Business & Commerce,Insurance,Tax & Revenue,,
"
 Amendment to Allow Legislature to Exclude Rainwater Capture Systems from Property Tax Assessments",Primary,2018,Legislative Referendum,Pass (Yes votes: 84.2%),84.20%,Budgets,Environmental Protection,Natural Resources,Tax & Revenue,,
"
 Protection of Local Government Revenues",General,2004,Legislative Referendum,Pass (Yes votes: 83.7%),83.70%,Local Government,State Government,Tax & Revenue,,,
"
 Removal of Judges Upon Conviction of Crime",General,1938,Legislative Referendum,Pass (Yes votes: 83.7%),83.70%,Judiciary,,,,,
"
 Tax Exemption for Disabled Veterans and Blind Veterans",General,1970,Legislative Referendum,Pass (Yes votes: 83.5%),83.50%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Public Records, Open Meetings. Legislative Constitutional Amendment.",General,2004,Legislative Referendum,Pass (Yes votes: 83.4%),83.40%,Civil & Constitutional Law,Local Government,State Government,,,
"
 Judges. Censure, Removal, Judicial Performance Commission",General,1976,Legislative Referendum,Pass (Yes votes: 83.1%),83.10%,Arts & Culture,Tax & Revenue,,,,
"
 Authorizing Indemnity to Owners of Livestock Destroyed to Prevent Spread of Disease",General,1930,Legislative Referendum,Pass (Yes votes: 82.9%),82.90%,Agriculture,Animal Rights/Hunting & Fishing,,,,
"
 Disaster Assistance",Primary,1980,Legislative Referendum,Pass (Yes votes: 82.9%),82.90%,Energy & Electric Utilities,Tax & Revenue,,,,
"
 Authorizing State Aid to Needy Blind Persons",General,1928,Legislative Referendum,Pass (Yes votes: 82.5%),82.50%,Budgets,Human Services,,,,
"
 Military Service by Public Officers",General,1952,Legislative Referendum,Pass (Yes votes: 82.4%),82.40%,Military & Veterans Affairs,,,,,
"
 Elected District Attorney",General,1986,Legislative Referendum,Pass (Yes votes: 82.3%),82.30%,Local Government,,,,,
"
 Property Tax Exemptions",General,1974,Legislative Referendum,Pass (Yes votes: 82.3%),82.30%,Legislatures,,,,,
"
 School Bonds1",General,1956,Legislative Referendum,Pass (Yes votes: 82.3%),82.30%,Bond Measures,Education: PreK-12,,,,
"
 Property Tax Postponement. Disabled Person",General,1984,Legislative Referendum,Pass (Yes votes: 82.2%),82.20%,Human Services,Tax & Revenue,,,,
"
 Second Degree Murder Of Peace Officer. Minimum Term.",Primary,1988,Legislative Referendum,Pass (Yes votes: 82.1%),82.10%,Criminal Justice,,,,,
"
 Alien Poll Tax",General,1920,Legislative Referendum,Pass (Yes votes: 81.9%),81.90%,Civil & Constitutional Law,Elections,,,,
"
 Allocation Of Vehicle License Fee Taxes To Counties And Cities.",Primary,1986,Legislative Referendum,Pass (Yes votes: 81.8%),81.80%,Local Government,Tax & Revenue,Transportation,,,
"
 Practice Of Chiropractic. Legislative Initiative Amendment",Primary,1990,Legislative Referendum,Pass (Yes votes: 81.8%),81.80%,Business & Commerce,Health,,,,
"
 Transportation Taxes and Fees Lockbox Amendment",Primary,2018,Legislative Referendum,Pass (Yes votes: 81.3%),81.30%,Budgets,Transportation,,,,
"
 Chiropractors, Board of Examiners. Licensing Requirements",General,1976,Legislative Referendum,Pass (Yes votes: 81.1%),81.10%,Health,,,,,
"
 Subordinate Judicial Officers. Discipline. Legislative Constitutional Amendment.",Primary,1998,Legislative Referendum,Pass (Yes votes: 81.0%),81.00%,Judiciary,,,,,
"
 Disability of the Governor to Act",General,1946,Legislative Referendum,Pass (Yes votes: 80.9%),80.90%,State Government,,,,,
"
 Inferior Court Reorganization",General,1950,Legislative Referendum,Pass (Yes votes: 80.7%),80.70%,Judiciary,,,,,
"
 Disabled Veterans' Tax Exemption",General,1960,Legislative Referendum,Pass (Yes votes: 80.6%),80.60%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Veterans' Bond Act of 1956",General,1956,Legislative Referendum,Pass (Yes votes: 80.4%),80.40%,Bond Measures,Military & Veterans Affairs,,,,
"
 Property Tax Exemption For Severely Disabled Persons. Legislative Constitutional Amendment",Primary,1990,Legislative Referendum,Pass (Yes votes: 80.2%),80.20%,Human Services,Tax & Revenue,,,,
"
 School Bonds4",General,1954,Legislative Referendum,Pass (Yes votes: 80.1%),80.10%,Bond Measures,Education: PreK-12,,,,
"
 Taxation. Veterans Exemption.",General,1944,Legislative Referendum,Pass (Yes votes: 80.1%),80.10%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Superior Judges, Vacancies",General,1948,Legislative Referendum,Pass (Yes votes: 80.0%),80.00%,Judiciary,,,,,
"
 Chiropractors. Unprofessional Conduct. Legislative Initiative Amendment.",Primary,2002,Legislative Referendum,Pass (Yes votes: 79.8%),79.80%,Health,,,,,
"
 Property Taxation by Local Governments Whose Boundaries Include Area in Two or More Counties.",General,1976,Legislative Referendum,Pass (Yes votes: 79.8%),79.80%,Local Government,Tax & Revenue,,,,
"
 State Highway Act of 1915",General,1916,Legislative Referendum,Pass (Yes votes: 79.8%),79.80%,Bond Measures,Transportation,,,,
"
 Constitution: Eliminates Obsolete and Superseded Provisions2",General,1962,Legislative Referendum,Pass (Yes votes: 79.6%),79.60%,Civil & Constitutional Law,,,,,
"
 Veterans' Bond Act of 1946",General,1946,Legislative Referendum,Pass (Yes votes: 79.6%),79.60%,Bond Measures,Military & Veterans Affairs,,,,
"
 Bail Exception. Felony Sexual Assault. Legislative Constitutional Amendment.",General,1994,Legislative Referendum,Pass (Yes votes: 79.4%),79.40%,Criminal Justice,,,,,
"
 Veterans' Bond Act of 1954",General,1954,Legislative Referendum,Pass (Yes votes: 79.4%),79.40%,Bond Measures,Military & Veterans Affairs,,,,
"
 Public Legislative Proceedings",Primary,1974,Legislative Referendum,Pass (Yes votes: 79.0%),79.00%,Legislatures,,,,,
"
 Reassessment of Property in Event of Damage or Destruction",Primary,1974,Legislative Referendum,Pass (Yes votes: 79.0%),79.00%,Tax & Revenue,,,,,
"
 Taxation: Retaliatory Tax on Out of State Insurers",General,1964,Legislative Referendum,Pass (Yes votes: 78.9%),78.90%,Insurance,Tax & Revenue,,,,
"
 Acquisition of Rights of Way by State",General,1928,Legislative Referendum,Pass (Yes votes: 78.8%),78.80%,Land Use/Property Rights,Transportation,,,,
"
 California Safe Drinking Water Bond Law Of 1986",General,1986,Legislative Referendum,Pass (Yes votes: 78.7%),78.70%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Pleading Guilty Before Committing Magistrate",General,1934,Initiative,Pass (Yes votes: 78.7%),78.70%,Criminal Justice,,,,,
"
 Post-Disaster Taxation",General,1978,Legislative Referendum,Pass (Yes votes: 78.5%),78.50%,Tax & Revenue,,,,,
"
 Constitution: Eliminates Obsolete and Superseded Provisions1",General,1960,Legislative Referendum,Pass (Yes votes: 78.4%),78.40%,Civil & Constitutional Law,,,,,
"
 Government Functions: Wartime Disaster",General,1958,Legislative Referendum,Pass (Yes votes: 78.3%),78.30%,State Government,,,,,
"
 Suffrage2",General,1924,Legislative Referendum,Pass (Yes votes: 78.1%),78.10%,Civil & Constitutional Law,Elections,,,,
"
 Taxing Highway Transportation Companies",General,1926,Legislative Referendum,Pass (Yes votes: 78.0%),78.00%,Tax & Revenue,Transportation,,,,
"
 Effective Date of Ballot Measures Amendment",Primary,2018,Legislative Referendum,Pass (Yes votes: 77.9%),77.90%,Civil & Constitutional Law,Elections,State Government,,,
"
 State Construction Program Bonds2",General,1956,Legislative Referendum,Pass (Yes votes: 77.9%),77.90%,Bond Measures,State Government,,,,
"
 Succession to Governorship",General,1948,Legislative Referendum,Pass (Yes votes: 77.5%),77.50%,State Government,,,,,
"
 Repealing Constitutional Restrictions on Chinese",General,1952,Legislative Referendum,Pass (Yes votes: 77.3%),77.30%,Civil & Constitutional Law,,,,,
"
 Authorizing City of Glendale, After Elections Therefor, to Pay Owners Certain Improvement Assessments Upon Their Properties",General,1932,Legislative Referendum,Pass (Yes votes: 77.2%),77.20%,Local Government,,,,,
"
 Water",General,1928,Legislative Referendum,Pass (Yes votes: 77.2%),77.20%,Natural Resources,,,,,
"
 Murder. Peace Officer Victim. Sentence. Credits.",Primary,1998,Legislative Referendum,Pass (Yes votes: 77.1%),77.10%,Criminal Justice,,,,,
"
 Taxation. Replacement Residences",General,1986,Legislative Referendum,Pass (Yes votes: 77.0%),77.00%,Tax & Revenue,,,,,
"
 Transportation Investment Fund. Legislative Constitutional Amendment.",General,2006,Legislative Referendum,Pass (Yes votes: 77.0%),77.00%,Budgets,Transportation,,,,
"
 Limitations on Recovery to Felons, Uninsured Motorists, Drunk Drivers. Initiative Statute.",General,1996,Initiative,Pass (Yes votes: 76.9%),76.90%,Criminal Justice,Insurance,,,,
"
 Authorizing City of Escondido to Hold Stock in Mutual Water Company",General,1932,Legislative Referendum,Pass (Yes votes: 76.8%),76.80%,Local Government,,,,,
"
 School Bonds5",General,1952,Legislative Referendum,Pass (Yes votes: 76.6%),76.60%,Bond Measures,Education: PreK-12,,,,
"
 Absent Voters2",General,1928,Legislative Referendum,Pass (Yes votes: 76.5%),76.50%,Elections,,,,,
"
 County Supervisorial District Boundaries",General,1964,Legislative Referendum,Pass (Yes votes: 76.4%),76.40%,Local Government,,,,,
"
 Authorizing State Aid to Needy Physically Handicapped Persons",General,1928,Legislative Referendum,Pass (Yes votes: 76.3%),76.30%,Budgets,Human Services,,,,
"
 Borough Form of City Government",General,1952,Legislative Referendum,Pass (Yes votes: 76.3%),76.30%,Local Government,,,,,
"
 Veterans' Welfare Bond Act of 1925",General,1926,Legislative Referendum,Pass (Yes votes: 76.3%),76.30%,Bond Measures,Military & Veterans Affairs,,,,
"
 State Civil Service1",General,1934,Initiative,Pass (Yes votes: 76.1%),76.10%,Labor & Employment,State Government,,,,
"
 Amendment to the State Highway Act",General,1916,Legislative Referendum,Pass (Yes votes: 76.0%),76.00%,Bond Measures,Transportation,,,,
"
 Property Taxation--Veteran's Exemption",Special,1979,Legislative Referendum,Pass (Yes votes: 75.9%),75.90%,Tax & Revenue,,,,,
"
 Taxation of Ocean Marine Insurers",General,1930,Legislative Referendum,Pass (Yes votes: 75.9%),75.90%,Insurance,Tax & Revenue,,,,
"
 Veterans' Welfare Bond Act of 1929",General,1930,Legislative Referendum,Pass (Yes votes: 75.9%),75.90%,Bond Measures,Military & Veterans Affairs,,,,
"
 San Francisco Harbor Improvement Act",General,1930,Legislative Referendum,Pass (Yes votes: 75.8%),75.80%,Tax & Revenue,Transportation,,,,
"
 Taxation. Family Transfers.",General,1986,Legislative Referendum,Pass (Yes votes: 75.7%),75.70%,Tax & Revenue,,,,,
"
 Veterans Bond Act Of 1986",Primary,1986,Legislative Referendum,Pass (Yes votes: 75.6%),75.60%,Bond Measures,Military & Veterans Affairs,,,,
"
 The Clean Water Bond Law of 1970",General,1970,Legislative Referendum,Pass (Yes votes: 75.4%),75.40%,Bond Measures,Natural Resources,,,,
"
 Transportation: Funding. Legislative Constitutional Amendment.",General,1998,Legislative Referendum,Pass (Yes votes: 75.4%),75.40%,Budgets,Transportation,,,,
"
 Freedom of Press.",Primary,1980,Legislative Referendum,Pass (Yes votes: 75.3%),75.30%,Civil & Constitutional Law,,,,,
"
 Alien Land Law",General,1920,Initiative,Pass (Yes votes: 75.1%),75.10%,Civil & Constitutional Law,Land Use/Property Rights,,,,
"
 Chiropractors. School Accreditation and License Revocation.",General,1978,Legislative Referendum,Pass (Yes votes: 75.0%),75.00%,Health,,,,,
"
 Deposit Of Public Moneys.",General,1988,Legislative Referendum,Pass (Yes votes: 74.8%),74.80%,Banking & Financial Services,Tax & Revenue,,,,
"
 Taxation: Church Buildings Under Construction",General,1952,Legislative Referendum,Pass (Yes votes: 74.8%),74.80%,Tax & Revenue,,,,,
"
 Fish and Game Commission1",General,1948,Legislative Referendum,Pass (Yes votes: 74.5%),74.50%,Natural Resources,State Government,,,,
"
 Administration of Justice",General,1960,Legislative Referendum,Pass (Yes votes: 74.4%),74.40%,Judiciary,,,,,
"
 Declaring Effective Dates of Acts of Legislature",Special,1933,Legislative Referendum,Pass (Yes votes: 74.4%),74.40%,Legislatures,,,,,
"
 Public Schools",General,1946,Initiative,Pass (Yes votes: 74.4%),74.40%,Education: PreK-12,,,,,
"
 Elected Officials' Salaries. Prevents Pay Increases During Budget Deficit Years.",Special,2009,Legislative Referendum,Pass (Yes votes: 74.3%),74.30%,Budgets,Labor & Employment,Legislatures,State Government,,
"
 Limitation of Government Appropriations",Special,1979,Initiative,Pass (Yes votes: 74.3%),74.30%,Budgets,,,,,
"
 State Boundaries",General,1956,Legislative Referendum,Pass (Yes votes: 74.3%),74.30%,Civil & Constitutional Law,State Government,,,,
"
 Taxation: College Buildings Under Construction",General,1952,Legislative Referendum,Pass (Yes votes: 74.3%),74.30%,Education: Higher Ed,Tax & Revenue,,,,
"
 Commission On Judicial Performance.",General,1988,Legislative Referendum,Pass (Yes votes: 74.2%),74.20%,Judiciary,,,,,
